"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",1.04116263879304,0.892471676180774,1.21469534047009,1.04,0.89,1.21
"CountrySwitzerland",0.91901650049623,0.766450309758172,1.10188866996646,0.92,0.77,1.1
"Age.cat31-40",1.06823427972113,0.795145090375034,1.43543273191563,1.07,0.8,1.44
"Age.cat41-50",1.25572598996799,0.938731708445759,1.68043369175498,1.26,0.94,1.68
"Age.cat51-60",1.54698713377227,1.16391002709111,2.05720545423248,1.55,1.16,2.06
"Age.cat61-65",2.237833544371,1.58501728592082,3.16260125736888,2.24,1.59,3.16
"relevel(Contract.change, ref = ""No change"")Job loss",0.710277009564108,0.344470303784821,1.47036761484795,0.71,0.34,1.47
"relevel(Contract.change, ref = ""No change"")Short-time 0",0.572275994543998,0.411852463602243,0.794807247611886,0.57,0.41,0.79
"relevel(Contract.change, ref = ""No change"")Short-time reduced",0.953074911986318,0.733837624204524,1.23786769962374,0.95,0.73,1.24
"Liv.situationPartner/Family/Flatshare",1.15372674115472,0.963044515872258,1.38218119383239,1.15,0.96,1.38
"relevel(Ovrl_HO, ref = ""No HO"")Experienced HO",1.04991301022719,0.875806544754233,1.25873515848605,1.05,0.88,1.26
"relevel(Ovrl_HO, ref = ""No HO"")New HO",1.1386229945785,0.923249606258904,1.40444579259727,1.14,0.92,1.4
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.810233819658971,0.644428854370452,1.01846424003515,0.81,0.64,1.02
"relevel(Freetime, ref = ""Unchanged"")Increased",1.23417766287316,1.00635161435267,1.51392053423684,1.23,1.01,1.51
"relevel(Work_time, ref = ""Unchanged"")Decreased",1.13612156981723,0.899161378775799,1.43559215361979,1.14,0.9,1.44
"relevel(Work_time, ref = ""Unchanged"")Increased",1.19968847651534,0.908421540372988,1.58526914863647,1.2,0.91,1.59
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.06397658339335,0.770468391862116,1.46974183285741,1.06,0.77,1.47
"relevel(Caring_duties, ref = ""Unchanged"")Increased",0.999613497780786,0.80457721065141,1.24186465006379,1,0.8,1.24
"work.wors.32",0.713812443548912,0.579292263564178,0.879197647096012,0.71,0.58,0.88
"work.wors.33",0.60792586307856,0.486208599548916,0.759801580672563,0.61,0.49,0.76
"work.imp.32",0.892490369453857,0.710401082839769,1.12104172876781,0.89,0.71,1.12
"work.imp.33",1.07337804996222,0.815993131976744,1.41201590580404,1.07,0.82,1.41
"privat.wors.32",0.801917962235755,0.651556752243983,0.986816003734805,0.8,0.65,0.99
"privat.wors.33",0.616007791038718,0.505450373206055,0.750458051490711,0.62,0.51,0.75
"privat.imp.32",1.03358803353017,0.831693490883756,1.28453946614755,1.03,0.83,1.28
"privat.imp.33",1.39420546317332,1.08157256627735,1.7976962972739,1.39,1.08,1.8
