"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.864677039240755,0.734559447065247,1.01781356202379,0.86,0.73,1.02
"CountrySwitzerland",1.13410884762953,0.934774346799434,1.37468031652522,1.13,0.93,1.37
"Age.cat31-40",0.932807819995653,0.688180302744192,1.26626218772664,0.93,0.69,1.27
"Age.cat41-50",0.882771482530547,0.652822561140355,1.19561790332591,0.88,0.65,1.2
"Age.cat51-60",0.795258895698731,0.592436725169729,1.06932362616922,0.8,0.59,1.07
"Age.cat61-65",0.767020853394873,0.532748425034378,1.10307229469929,0.77,0.53,1.1
"relevel(Contract.change, ref = ""No change"")Job loss",1.67386048055639,0.771065245418074,3.56298935666682,1.67,0.77,3.56
"relevel(Contract.change, ref = ""No change"")Short-time 0",1.57060548811194,1.12903452777706,2.18382380795058,1.57,1.13,2.18
"relevel(Contract.change, ref = ""No change"")Short-time reduced",1.32116939407999,1.01262799203758,1.72313227566181,1.32,1.01,1.72
"Liv.situationPartner/Family/Flatshare",1.740896876388,1.44017560286085,2.10795743532976,1.74,1.44,2.11
"relevel(Ovrl_HO, ref = ""No HO"")Experienced HO",1.72337783725099,1.42862456071524,2.07944093706769,1.72,1.43,2.08
"relevel(Ovrl_HO, ref = ""No HO"")New HO",1.41400628583249,1.13765477996822,1.75637386365979,1.41,1.14,1.76
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.850133559065067,0.669649691495558,1.07754456763592,0.85,0.67,1.08
"relevel(Freetime, ref = ""Unchanged"")Increased",2.25439147431734,1.82400771916539,2.78851661885379,2.25,1.82,2.79
"relevel(Work_time, ref = ""Unchanged"")Decreased",0.88881371569847,0.695843174775202,1.13389529312844,0.89,0.7,1.13
"relevel(Work_time, ref = ""Unchanged"")Increased",1.07884840930451,0.808477647315187,1.43599145025213,1.08,0.81,1.44
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.34948959727765,0.960254518891191,1.88984335282043,1.35,0.96,1.89
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.3348143233393,1.06904254678908,1.66596655601993,1.33,1.07,1.67
