"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",1.04839930554671,0.897573019720711,1.22470808646637,1.05,0.9,1.22
"CountrySwitzerland",0.855777847617557,0.711487034156197,1.02888444337159,0.86,0.71,1.03
"Age.cat31-40",0.757049336079521,0.563635880114333,1.01653720435234,0.76,0.56,1.02
"Age.cat41-50",0.767036594387578,0.571732823427757,1.02879649216162,0.77,0.57,1.03
"Age.cat51-60",0.755243784787418,0.568264514389506,1.00355364624892,0.76,0.57,1
"Age.cat61-65",0.579127648842625,0.408926609330995,0.819291763624562,0.58,0.41,0.82
"relevel(Contract.change, ref = ""No change"")Job loss",1.21458114158535,0.602775907070615,2.44004299114229,1.21,0.6,2.44
"relevel(Contract.change, ref = ""No change"")Short-time 0",1.06124407192876,0.775383066312207,1.45180014560769,1.06,0.78,1.45
"relevel(Contract.change, ref = ""No change"")Short-time reduced",1.22477031996197,0.952548457275738,1.57530166090504,1.22,0.95,1.58
"Liv.situationPartner/Family/Flatshare",0.407876793897041,0.340540787595543,0.488135994748318,0.41,0.34,0.49
"relevel(Ovrl_HO, ref = ""No HO"")Experienced HO",1.01758297628123,0.851080837666583,1.21652814050821,1.02,0.85,1.22
"relevel(Ovrl_HO, ref = ""No HO"")New HO",1.07429260835214,0.87293833003887,1.32191263457135,1.07,0.87,1.32
"relevel(Freetime, ref = ""Unchanged"")Decreased",2.61703322945738,2.09269388582345,3.27564211253286,2.62,2.09,3.28
"relevel(Freetime, ref = ""Unchanged"")Increased",1.29560508328151,1.05674189259039,1.58874184954399,1.3,1.06,1.59
"relevel(Work_time, ref = ""Unchanged"")Decreased",0.901985321086729,0.715786883827155,1.1360987179916,0.9,0.72,1.14
"relevel(Work_time, ref = ""Unchanged"")Increased",1.13306557774751,0.864232906203885,1.48522737522394,1.13,0.86,1.49
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.6219978343759,1.18709749828325,2.21659079207156,1.62,1.19,2.22
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.3917747535303,1.1241702942508,1.72324596638954,1.39,1.12,1.72
