"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.846019525560511,0.71589724190855,0.999563831065204,0.85,0.72,1
"CountrySwitzerland",1.62246665587986,1.32872035935267,1.98301650149081,1.62,1.33,1.98
"Age.cat31-40",0.847779033477658,0.612961750407692,1.17169573664684,0.85,0.61,1.17
"Age.cat41-50",0.606068084514036,0.439703080066307,0.834328639982502,0.61,0.44,0.83
"Age.cat51-60",0.466047346827621,0.340382066242868,0.6370342583946,0.47,0.34,0.64
"Age.cat61-65",0.46394246717195,0.318492758299255,0.675101862848117,0.46,0.32,0.68
"relevel(Contract.change, ref = ""No change"")Job loss",0.789185891297422,0.345141024062934,1.81392023576432,0.79,0.35,1.81
"relevel(Contract.change, ref = ""No change"")Short-time 0",0.494399459156428,0.347282501741102,0.703568637952365,0.49,0.35,0.7
"relevel(Contract.change, ref = ""No change"")Short-time reduced",0.896028481768885,0.676024820426,1.18740666149215,0.9,0.68,1.19
"Liv.situationPartner/Family/Flatshare",1.14666934097373,0.944098426544718,1.39263614012013,1.15,0.94,1.39
"relevel(Ovrl_HO, ref = ""No HO"")Experienced HO",0.985524566152666,0.808873154351483,1.20097323900108,0.99,0.81,1.2
"relevel(Ovrl_HO, ref = ""No HO"")New HO",1.06611589503321,0.852055488295329,1.33439757085915,1.07,0.85,1.33
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.922096080427277,0.723442182876587,1.17537209057074,0.92,0.72,1.18
"relevel(Freetime, ref = ""Unchanged"")Increased",1.45365581738133,1.1616417160337,1.82013616945182,1.45,1.16,1.82
"relevel(Work_time, ref = ""Unchanged"")Decreased",1.02016388112821,0.789933380121512,1.31787916231541,1.02,0.79,1.32
"relevel(Work_time, ref = ""Unchanged"")Increased",1.16783060200305,0.866320918738111,1.57613374182524,1.17,0.87,1.58
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",0.820878290817235,0.577358080797945,1.16975650951119,0.82,0.58,1.17
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.05500568197158,0.836120887162747,1.33170268988667,1.06,0.84,1.33
"work.wors.32",0.910662231438124,0.725655473140778,1.14284873717786,0.91,0.73,1.14
"work.wors.33",0.764651842174854,0.600827276129417,0.973076032977746,0.76,0.6,0.97
"work.imp.32",0.841605994168322,0.65701054865247,1.07805261582612,0.84,0.66,1.08
"work.imp.33",0.937751304700572,0.69693042235499,1.26249418495787,0.94,0.7,1.26
"privat.wors.32",0.663950745095733,0.531721439050309,0.82877722765628,0.66,0.53,0.83
"privat.wors.33",0.669312866427702,0.540091127521575,0.82913971931172,0.67,0.54,0.83
"privat.imp.32",1.04382408487504,0.825927705591983,1.31969675792413,1.04,0.83,1.32
"privat.imp.33",1.10234656588201,0.83250295485667,1.4608385516306,1.1,0.83,1.46
