"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.911824085457293,0.778236064070562,1.06834038071733,0.91,0.78,1.07
"CountrySwitzerland",0.87015644418467,0.721568447711574,1.0487732098162,0.87,0.72,1.05
"Age.cat31-40",0.93335732426715,0.692040242874237,1.25947010274921,0.93,0.69,1.26
"Age.cat41-50",1.07806250008699,0.802361083683273,1.44943373219609,1.08,0.8,1.45
"Age.cat51-60",1.23206722937281,0.92370846996714,1.64475767681975,1.23,0.92,1.64
"Age.cat61-65",1.54979189843101,1.0911549363864,2.20250489420933,1.55,1.09,2.2
"relevel(Contract.change, ref = ""No change"")Job loss",35.0693366599094,14.8901250836222,90.0344612298006,35.07,14.89,90.03
"relevel(Contract.change, ref = ""No change"")Short-time 0",9.71609303559564,6.84685950516846,13.856361695012,9.72,6.85,13.86
"relevel(Contract.change, ref = ""No change"")Short-time reduced",3.44837765372765,2.66341355699586,4.47041669003681,3.45,2.66,4.47
"Liv.situationPartner/Family/Flatshare",0.890158210346091,0.743330952824442,1.06604930190724,0.89,0.74,1.07
"relevel(Ovrl_HO, ref = ""No HO"")Experienced HO",1.1770188596301,0.980831791854005,1.41257836658275,1.18,0.98,1.41
"relevel(Ovrl_HO, ref = ""No HO"")New HO",1.21221713362601,0.981485981672622,1.49708827033959,1.21,0.98,1.5
"relevel(Freetime, ref = ""Unchanged"")Decreased",1.62115082928052,1.29207455638947,2.0346583433087,1.62,1.29,2.03
"relevel(Freetime, ref = ""Unchanged"")Increased",1.27164961560985,1.03701277734726,1.5590699355764,1.27,1.04,1.56
"relevel(Work_time, ref = ""Unchanged"")Decreased",2.95233224252322,2.33425939663539,3.73817234693031,2.95,2.33,3.74
"relevel(Work_time, ref = ""Unchanged"")Increased",2.0605255263913,1.55374574287702,2.73423468474723,2.06,1.55,2.73
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.12528777395707,0.804721717286586,1.57266414998545,1.13,0.8,1.57
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.5831622337979,1.27489851687223,1.96667532730981,1.58,1.27,1.97
