"","X","ID.2","ID.3","Gender","Liv.situation","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","Work.quant","Care.quant","Free.quant","mwb.cat","Ovrl_HO","Work_time","Caring_duties","Freetime","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3","edu.na"
"1",1,3772836090342,4815547783662,"Male","Partner/Family/Flatshare","5","1","5","1",3,1,5,1,"1",1,"Decreased","Increased","Decreased","41-50","3","Switzerland",49,"3","1","3","1",NA
"2",2,3665409057945,4678430772645,"Male","Partner/Family/Flatshare","3","3","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","61-65","2","Switzerland",61,"2","2","1","1",3
"3",3,4227659388342,5396072161662,"Male","Partner/Family/Flatshare","1","1","1","1",1,3,3,3,"2",2,"Unchanged","Unchanged","Unchanged","41-50","4","Switzerland",49,"1","1","1","1",3
"4",4,3665839901949,4678980690489,"Female","Partner/Family/Flatshare","3","2","3","2",1,2,4,3,"2",3,"Decreased","Increased","Unchanged","41-50","4","Switzerland",42,"2","1","2","1",6
"5",5,3801095937549,4851617902089,"Male","Partner/Family/Flatshare","4","1","3","1",1,3,3,3,"2",2,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",37,"3","1","2","1",NA
"6",6,4035108532545,5150305363245,"Male","Partner/Family/Flatshare","1","1","1","1",2,3,2,3,"2",2,"Unchanged","Decreased","Unchanged","31-40","3","Germany",31,"1","1","1","1",3
"7",7,3800487064644,4850840752884,"Female","Partner/Family/Flatshare","5","1","2","3",2,2,3,2,"2",1,"Decreased","Unchanged","Decreased","18-30","3","Germany",30,"3","1","1","2",NA
"8",8,4038274573740,5154346414140,"Male","Partner/Family/Flatshare","3","3","1","1",1,3,3,3,"3",2,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",59,"2","2","1","1",NA
"9",9,4306441240341,5496627225201,"Male","Partner/Family/Flatshare","3","1","4","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","51-60","3","Switzerland",58,"2","1","3","1",NA
"10",10,3709954103544,4735286885784,"Female","Partner/Family/Flatshare","2","1","4","1",2,1,1,1,"3",2,"Decreased","Decreased","Decreased","51-60","4","Germany",54,"1","1","3","1",3
"11",11,3614999098941,4614088839801,"Male","Partner/Family/Flatshare","4","1","4","1",1,5,3,1,"3",1,"Increased","Unchanged","Decreased","41-50","4","Switzerland",50,"3","1","3","1",NA
"12",12,4340155549140,5539659273540,"Male","Alone","1","1","1","1",1,3,3,3,"3",1,"Unchanged","Unchanged","Unchanged","31-40","1","Switzerland",39,"1","1","1","1",3
"13",13,3971635510446,5069290083606,"Female","Partner/Family/Flatshare","1","4","1","5",1,4,4,4,"3",2,"Increased","Increased","Increased","31-40","3","Germany",31,"1","3","1","3",4
"14",14,4149975029643,5296917909423,"Male","Partner/Family/Flatshare","4","2","3","1",3,2,2,4,"3",1,"Decreased","Decreased","Increased","18-30","4","Germany",25,"3","1","2","1",3
"15",15,3898531544040,4975982122440,"Male","Partner/Family/Flatshare","2","2","2","2",1,2,3,3,"4",2,"Decreased","Unchanged","Unchanged","51-60","4","Germany",60,"1","1","1","1",3
"16",16,3944424227742,5034558325062,"Female","Partner/Family/Flatshare","3","1","3","1",1,2,3,4,"4",2,"Decreased","Unchanged","Increased","51-60","3","Germany",51,"2","1","2","1",4
"17",17,4427363986740,5650969807140,"Female","Partner/Family/Flatshare","2","2","2","2",1,3,3,3,"4",2,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",37,"1","1","1","1",NA
"18",18,3680239859640,4697360414040,"Male","Partner/Family/Flatshare","3","1","4","1",1,3,3,3,"4",1,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",36,"2","1","3","1",NA
"19",19,4417177753548,5637968369628,"Female","Partner/Family/Flatshare","1","3","1","4",1,2,3,4,"4",2,"Decreased","Unchanged","Increased","31-40","5","Switzerland",36,"1","2","1","3",NA
"20",20,3666811855545,4680221266245,"Male","Partner/Family/Flatshare","1","5","1","5",1,3,3,3,"5",1,"Unchanged","Unchanged","Unchanged","61-65","5","Germany",64,"1","3","1","3",NA
"21",21,4394016390240,5608405820640,"Female","Partner/Family/Flatshare","5","1","3","2",2,1,5,2,"5",2,"Decreased","Increased","Decreased","61-65","3","Germany",63,"3","1","2","1",5
"22",22,4215463220340,5380505296740,"Male","Partner/Family/Flatshare","4","1","3","1",1,4,3,2,"5",1,"Increased","Unchanged","Decreased","51-60","4","Germany",51,"3","1","2","1",NA
"23",23,3770646497748,4812753045828,"Female","Partner/Family/Flatshare","5","1","4","4",3,1,3,1,"5",1,"Decreased","Unchanged","Decreased","31-40","4","Germany",36,"3","1","3","3",6
"24",24,4376226851640,5585699726040,"Female","Partner/Family/Flatshare","4","3","1","5",1,1,4,3,"5",2,"Decreased","Increased","Unchanged","31-40","4","Germany",34,"3","2","1","3",3
"25",25,3678883427349,4695629099889,"Male","Partner/Family/Flatshare","4","1","3","1",1,3,4,2,"6",2,"Unchanged","Increased","Decreased","41-50","4","Germany",48,"3","1","2","1",NA
"26",26,4019867332443,5130851900223,"Male","Partner/Family/Flatshare","1","1","1","4",2,2,4,4,"6",3,"Decreased","Increased","Increased","31-40","5","Germany",40,"1","1","1","3",6
"27",27,3836604643443,4896940271223,"Male","Partner/Family/Flatshare","4","1","2","4",1,2,3,4,"6",3,"Decreased","Unchanged","Increased","18-30","5","Germany",29,"3","1","1","3",2
