"","ID.1","ID.2","ID.3","Year.birth","Employed","Gender","Work.hours","Liv.situation","Caring.outside","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","ho.before","ho.after","Work.quant","Care.quant","Free.quant","wl.sat","pl.sat","work.soc","mwb","mwb.cat","New_HO","Old_HO","No_HO","Ovrl_HO","Work_time","Caring_duties","Freetime","ho.diff","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3"
"1","5bf44f1aea97102460186bbff7f19a90",3772836090342,4815547783662,1971,"Yes","Male",6,"Partner/Family/Flatshare","No",5,1,5,1,"Short-time 0",0,0,1,5,1,4,4,1.875,2,1,0,0,1,"No HO","Decreased","Increased","Decreased",0,"41-50",3,"Switzerland",49,3,1,3,1
"2","b1bbd0f4a9a81a62c6908b6a7f03531d",3665409057945,4678430772645,1959,"Yes","Male",5,"Partner/Family/Flatshare","No",3,3,1,1,"No change",0,0,3,3,3,1,6,2.28571428571429,2.85714285714286,1,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"61-65",2,"Switzerland",61,2,2,1,1
"3","39db240b1b1f6a59785c5f7e256c9c35",4227659388342,5396072161662,1971,"Yes","Male",5,"Partner/Family/Flatshare","No",1,1,1,1,"No change",10,100,3,3,3,4,6,4,3,2,0,2,0,"Experienced HO","Unchanged","Unchanged","Unchanged",90,"41-50",4,"Switzerland",49,1,1,1,1
"4","60267d7fc030e7c7ce3cb6fdac4bbaee",3665839901949,4678980690489,1978,"Yes","Female",4,"Partner/Family/Flatshare","No",3,2,3,2,"No change",0,30,2,4,3,5,4,4.75,3.14285714285714,2,3,0,0,"New HO","Decreased","Increased","Unchanged",30,"41-50",4,"Switzerland",42,2,1,2,1
"5","af0e266ad5d31def4f633a850aa41284",3801095937549,4851617902089,1983,"Yes","Male",5,"Partner/Family/Flatshare","No",4,1,3,1,"No change",100,100,3,3,3,6,5,4.66666666666667,3.14285714285714,2,0,2,0,"Experienced HO","Unchanged","Unchanged","Unchanged",0,"31-40",4,"Germany",37,3,1,2,1
"6","5dc412396de82f20fd48ad885cebe568",4035108532545,5150305363245,1989,"Yes","Male",5,"Partner/Family/Flatshare","Yes",1,1,1,1,"Short-time reduced",20,40,3,2,3,4,6,4,3.14285714285714,2,0,2,0,"Experienced HO","Unchanged","Decreased","Unchanged",20,"31-40",3,"Germany",31,1,1,1,1
"7","1e23da172b7e36fae44383797f9d71ec",3800487064644,4850840752884,1990,"Yes","Female",5,"Partner/Family/Flatshare","No",5,1,2,3,"Short-time reduced",0,0,2,3,2,5,5,4.75,3.14285714285714,2,0,0,1,"No HO","Decreased","Unchanged","Decreased",0,"18-30",3,"Germany",30,3,1,1,2
"8","2402038c135a95e47a63612e694d2556",4038274573740,5154346414140,1961,"Yes","Male",5,"Partner/Family/Flatshare","Yes",3,3,1,1,"No change",40,100,3,3,3,5,6,2.71428571428571,3.28571428571429,3,0,2,0,"Experienced HO","Unchanged","Unchanged","Unchanged",60,"51-60",4,"Germany",59,2,2,1,1
"9","8b730f4fecb4791fdee7eefa56193d0a",4306441240341,5496627225201,1962,"Yes","Male",3,"Partner/Family/Flatshare","No",3,1,4,1,"No change",0,0,3,3,3,5,4,6,3.28571428571429,3,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"51-60",3,"Switzerland",58,2,1,3,1
"10","93e9f0b5aad23774d8ddc2ab88759aa7",3709954103544,4735286885784,1966,"Yes","Female",3,"Partner/Family/Flatshare","No",2,1,4,1,"Short-time reduced",100,40,1,1,1,3,3,5.75,3.71428571428571,3,0,2,0,"Experienced HO","Decreased","Decreased","Decreased",-60,"51-60",4,"Germany",54,1,1,3,1
"11","4094cf0d1d13d9ee1fdb9e4a53d7a2d5",3614999098941,4614088839801,1970,"Yes","Male",5,"Partner/Family/Flatshare","No",4,1,4,1,"No change",0,0,5,3,1,3,4,4,3.42857142857143,3,0,0,1,"No HO","Increased","Unchanged","Decreased",0,"41-50",4,"Switzerland",50,3,1,3,1
"12","0adc96715f2c13089cdd6fece8390b70",4340155549140,5539659273540,1981,"Yes","Male",5,"Alone","No",1,1,1,1,"No change",0,0,3,3,3,1,4,4,3.57142857142857,3,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"31-40",1,"Switzerland",39,1,1,1,1
"13","8c7c255435f84f4389556d098ef028f7",3971635510446,5069290083606,1989,"Yes","Female",5,"Partner/Family/Flatshare","No",1,4,1,5,"No change",50,60,4,4,4,5,6,5,3.42857142857143,3,0,2,0,"Experienced HO","Increased","Increased","Increased",10,"31-40",3,"Germany",31,1,3,1,3
"14","4d466c4d0e9ce663ac2cc8e4ce701ea1",4149975029643,5296917909423,1995,"Yes","Male",3,"Partner/Family/Flatshare","No",4,2,3,1,"Short-time 0",0,0,2,2,4,5,5,4,3.42857142857143,3,0,0,1,"No HO","Decreased","Decreased","Increased",0,"18-30",4,"Germany",25,3,1,2,1
"15","7ca278d43fea63a9e62d02ef3a086ce8",3898531544040,4975982122440,1960,"Yes","Male",3,"Partner/Family/Flatshare","No",2,2,2,2,"No change",80,80,2,3,3,5,5,6,4,4,0,2,0,"Experienced HO","Decreased","Unchanged","Unchanged",0,"51-60",4,"Germany",60,1,1,1,1
"16","f44db4e6780b01bb7619a620e3015766",3944424227742,5034558325062,1969,"Yes","Female",5,"Partner/Family/Flatshare","No",3,1,3,1,"No change",100,40,2,3,4,6,6,5.55555555555556,4,4,0,2,0,"Experienced HO","Decreased","Unchanged","Increased",-60,"51-60",3,"Germany",51,2,1,2,1
"17","a90d0c32773b4569f8cb239f22c33cb5",4427363986740,5650969807140,1983,"Yes","Female",4,"Partner/Family/Flatshare","No",2,2,2,2,"No change",100,100,3,3,3,5,4,5.77777777777778,4,4,0,2,0,"Experienced HO","Unchanged","Unchanged","Unchanged",0,"31-40",4,"Germany",37,1,1,1,1
"18","9b97dc54134b7e5e8f9f54a6a1bd6e7d",3680239859640,4697360414040,1984,"Yes","Male",5,"Partner/Family/Flatshare","No",3,1,4,1,"No change",0,0,3,3,3,3,5,5.83333333333333,3.85714285714286,4,0,0,1,"No HO","Unchanged","Unchanged","Unchanged",0,"31-40",4,"Germany",36,2,1,3,1
