"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",1.04229597378746,0.89337340352093,1.21603976806161,1.04,0.89,1.22
"CountrySwitzerland",0.916455229357125,0.764279823568444,1.0989263981876,0.92,0.76,1.1
"Age.cat31-40",1.06533077527875,0.793052466732981,1.43143714104088,1.07,0.79,1.43
"Age.cat41-50",1.25378783892243,0.937449959395043,1.67754262958733,1.25,0.94,1.68
"Age.cat51-60",1.54760302695381,1.16462859330409,2.05778550193468,1.55,1.16,2.06
"Age.cat61-65",2.23964501104499,1.5865040264735,3.16482481680505,2.24,1.59,3.16
"edu_cat.bSecondary",1.17920407696788,0.816507173763855,1.70422640871698,1.18,0.82,1.7
"edu_cat.bTertiary",1.12657579815795,0.774858936960504,1.63931231321361,1.13,0.77,1.64
"relevel(Contract.change, ref = ""No change"")Short-time reduced",0.953720295216248,0.734229841016945,1.23889213168459,0.95,0.73,1.24
"relevel(Contract.change, ref = ""No change"")Short-time 0",0.570652908276489,0.410612830192316,0.792716666232595,0.57,0.41,0.79
"relevel(Contract.change, ref = ""No change"")Job loss",0.728215567117286,0.351618511397118,1.51508775918794,0.73,0.35,1.52
"Liv.situationPartner/Family/Flatshare",1.15376166337759,0.962808945710284,1.38269828230519,1.15,0.96,1.38
"relevel(Ovrl_HO, ref = ""None"")Experienced",1.052250124596,0.877667172734108,1.2616663690296,1.05,0.88,1.26
"relevel(Ovrl_HO, ref = ""None"")New",1.13648492393145,0.92144325714588,1.40186322461901,1.14,0.92,1.4
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.812153062447119,0.645877776330124,1.02096627882887,0.81,0.65,1.02
"relevel(Freetime, ref = ""Unchanged"")Increased",1.23392150972227,1.00615196218811,1.51356766742224,1.23,1.01,1.51
"relevel(Work_time, ref = ""Unchanged"")Decreased",1.13955973513629,0.901813097776877,1.44005848559022,1.14,0.9,1.44
"relevel(Work_time, ref = ""Unchanged"")Increased",1.19730908642017,0.906608245031756,1.58209227228755,1.2,0.91,1.58
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.06232484917591,0.769151758230184,1.46764974206861,1.06,0.77,1.47
"relevel(Caring_duties, ref = ""Unchanged"")Increased",0.996519505069732,0.801971739698405,1.23818696214873,1,0.8,1.24
"Work.wors.32",0.710859813753968,0.576614678968627,0.875981132809238,0.71,0.58,0.88
"Work.wors.33",0.606851230136387,0.485334402458626,0.758492377473081,0.61,0.49,0.76
"Work.imp.32",0.896158871491415,0.712856796105678,1.12639505060144,0.9,0.71,1.13
"Work.imp.33",1.07136711704281,0.814164029067328,1.40993940242826,1.07,0.81,1.41
"Privat.wors.32",0.801157342582079,0.650971032294306,0.985866013605213,0.8,0.65,0.99
"Privat.wors.33",0.614873119186826,0.504496515595716,0.749129592127342,0.61,0.5,0.75
"Privat.imp.32",1.03586301869194,0.83346699106524,1.28738164904882,1.04,0.83,1.29
"Privat.imp.33",1.39745118488202,1.08397405210965,1.80208908421528,1.4,1.08,1.8
