"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.867153419453237,0.736572858883142,1.02085646787352,0.87,0.74,1.02
"CountrySwitzerland",1.13437893314926,0.934938520476538,1.37509016975065,1.13,0.93,1.38
"Age.cat31-40",0.932699517871873,0.688137179718668,1.26607622345257,0.93,0.69,1.27
"Age.cat41-50",0.881725271385126,0.65202678020392,1.19426720842746,0.88,0.65,1.19
"Age.cat51-60",0.79562875943338,0.592750542509499,1.06977473356864,0.8,0.59,1.07
"Age.cat61-65",0.762047954426337,0.529162559384873,1.09619529351207,0.76,0.53,1.1
"edu_cat.bSecondary",1.02330093264064,0.690378518491142,1.52963314985507,1.02,0.69,1.53
"edu_cat.bTertiary",1.13835433290991,0.763619129069985,1.71106487521691,1.14,0.76,1.71
"relevel(Contract.change, ref = ""No change"")Short-time reduced",1.31940030289761,1.01120600353847,1.72090861268561,1.32,1.01,1.72
"relevel(Contract.change, ref = ""No change"")Short-time 0",1.5646006569567,1.12451655604645,2.17579420314277,1.56,1.12,2.18
"relevel(Contract.change, ref = ""No change"")Job loss",1.64780622084815,0.756144534051278,3.5202671694716,1.65,0.76,3.52
"Liv.situationPartner/Family/Flatshare",1.74939730600501,1.44692747278341,2.11868817398047,1.75,1.45,2.12
"relevel(Ovrl_HO, ref = ""None"")Experienced",1.71913693117441,1.42492218274713,2.07459746525144,1.72,1.42,2.07
"relevel(Ovrl_HO, ref = ""None"")New",1.41342172578059,1.13692901245273,1.75605310019619,1.41,1.14,1.76
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.852065499217863,0.671132109466208,1.08005180268093,0.85,0.67,1.08
"relevel(Freetime, ref = ""Unchanged"")Increased",2.26390437307726,1.83143582898565,2.80070494850191,2.26,1.83,2.8
"relevel(Work_time, ref = ""Unchanged"")Decreased",0.889638687198887,0.696513838800578,1.13491444947451,0.89,0.7,1.13
"relevel(Work_time, ref = ""Unchanged"")Increased",1.08284234320196,0.8113823065455,1.44147312119929,1.08,0.81,1.44
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.34459805151843,0.956630764443539,1.88325861706613,1.34,0.96,1.88
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.33187381830885,1.06664746003557,1.66235967812635,1.33,1.07,1.66
