"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",1.04645160397421,0.895855720657419,1.22249628870257,1.05,0.9,1.22
"CountrySwitzerland",0.857077158842444,0.712497999701324,1.03054839364327,0.86,0.71,1.03
"Age.cat31-40",0.755918731471491,0.562565465904671,1.01544710590475,0.76,0.56,1.02
"Age.cat41-50",0.767132278336604,0.571660405742331,1.02919827668008,0.77,0.57,1.03
"Age.cat51-60",0.752538415606234,0.566032434761531,1.00030490097941,0.75,0.57,1
"Age.cat61-65",0.580563760692379,0.409883322848764,0.821444268165541,0.58,0.41,0.82
"edu_cat.bSecondary",0.853888445476082,0.585227687225449,1.24630900786438,0.85,0.59,1.25
"edu_cat.bTertiary",0.800380007209267,0.545069928669086,1.17556074633182,0.8,0.55,1.18
"relevel(Contract.change, ref = ""No change"")Short-time reduced",1.22567022228375,0.953216227138306,1.57649756365028,1.23,0.95,1.58
"relevel(Contract.change, ref = ""No change"")Short-time 0",1.06974727761841,0.781487872250358,1.46358933864896,1.07,0.78,1.46
"relevel(Contract.change, ref = ""No change"")Job loss",1.2225458028019,0.605548556331506,2.46088505413966,1.22,0.61,2.46
"Liv.situationPartner/Family/Flatshare",0.404953031142868,0.337950130284429,0.484844394045249,0.4,0.34,0.48
"relevel(Ovrl_HO, ref = ""None"")Experienced",1.0169192306864,0.85044925473393,1.21584069544443,1.02,0.85,1.22
"relevel(Ovrl_HO, ref = ""None"")New",1.07603960375987,0.874265882571956,1.32418660940355,1.08,0.87,1.32
"relevel(Freetime, ref = ""Unchanged"")Decreased",2.6196984232371,2.09483980197761,3.27896009179341,2.62,2.09,3.28
"relevel(Freetime, ref = ""Unchanged"")Increased",1.29186539791508,1.0536565213628,1.58432136273414,1.29,1.05,1.58
"relevel(Work_time, ref = ""Unchanged"")Decreased",0.897568782494431,0.712189596852974,1.13067842737367,0.9,0.71,1.13
"relevel(Work_time, ref = ""Unchanged"")Increased",1.1296105963096,0.861654988185772,1.4806076880482,1.13,0.86,1.48
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.62782067995152,1.19122550228061,2.22511216790444,1.63,1.19,2.23
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.39806351788677,1.12902956936772,1.73137185112273,1.4,1.13,1.73
