"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.844180606423254,0.714273483108305,0.997454530503938,0.84,0.71,1
"CountrySwitzerland",1.62312602221919,1.32919181336621,1.98394769948466,1.62,1.33,1.98
"Age.cat31-40",0.843652148633097,0.609827613727903,1.1662384119346,0.84,0.61,1.17
"Age.cat41-50",0.603925462670063,0.438092221334465,0.831491399780486,0.6,0.44,0.83
"Age.cat51-60",0.463416538004123,0.338379858854917,0.633572600505654,0.46,0.34,0.63
"Age.cat61-65",0.464584186221605,0.318922723209054,0.676039608144911,0.46,0.32,0.68
"edu_cat.bSecondary",0.908408425547255,0.607078638629975,1.35591806733952,0.91,0.61,1.36
"edu_cat.bTertiary",0.834894787442276,0.554733669359372,1.25341511557201,0.83,0.55,1.25
"relevel(Contract.change, ref = ""No change"")Short-time reduced",0.897624018439405,0.677145752192306,1.18968941304696,0.9,0.68,1.19
"relevel(Contract.change, ref = ""No change"")Short-time 0",0.496460083533008,0.34874183696418,0.706485512590347,0.5,0.35,0.71
"relevel(Contract.change, ref = ""No change"")Job loss",0.793215050011031,0.346425755540097,1.82672242308809,0.79,0.35,1.83
"Liv.situationPartner/Family/Flatshare",1.14128552678235,0.939476910015899,1.38634810426308,1.14,0.94,1.39
"relevel(Ovrl_HO, ref = ""None"")Experienced",0.98504088921009,0.80844408110406,1.2004045761709,0.99,0.81,1.2
"relevel(Ovrl_HO, ref = ""None"")New",1.06652826505031,0.852314911012346,1.3349981139695,1.07,0.85,1.33
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.921981287447211,0.723329989977166,1.1753194358326,0.92,0.72,1.18
"relevel(Freetime, ref = ""Unchanged"")Increased",1.45139657728452,1.15974790622061,1.81746548625315,1.45,1.16,1.82
"relevel(Work_time, ref = ""Unchanged"")Decreased",1.01974465414003,0.789526059223428,1.317462043946,1.02,0.79,1.32
"relevel(Work_time, ref = ""Unchanged"")Increased",1.16777086496203,0.866194720197181,1.5762685355305,1.17,0.87,1.58
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",0.82172874564094,0.577204196021025,1.17090256385218,0.82,0.58,1.17
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.05954989853284,0.839594849012802,1.33762979200196,1.06,0.84,1.34
"Work.wors.32",0.906098157694002,0.721746831109634,1.13753755739998,0.91,0.72,1.14
"Work.wors.33",0.763303741838832,0.599713184150078,0.971437425336182,0.76,0.6,0.97
"Work.imp.32",0.845999950542329,0.660252712670596,1.08397988366467,0.85,0.66,1.08
"Work.imp.33",0.943389217169669,0.700957259058323,1.27045809741734,0.94,0.7,1.27
"Privat.wors.32",0.666076293743389,0.533380002623308,0.831492502206471,0.67,0.53,0.83
"Privat.wors.33",0.668419082262837,0.539323182327205,0.82807667860582,0.67,0.54,0.83
"Privat.imp.32",1.04246131597161,0.82490866091192,1.31780547760547,1.04,0.82,1.32
"Privat.imp.33",1.10233337301404,0.832422140487246,1.46086164112851,1.1,0.83,1.46
