"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.929183159032264,0.786673472788813,1.09759947031785,0.93,0.79,1.1
"CountrySwitzerland",1.15432970799046,0.948423134298674,1.40345822958755,1.15,0.95,1.4
"Age.cat31-40",1.03843896150866,0.763608049564908,1.41433080503175,1.04,0.76,1.41
"Age.cat41-50",0.960256855192116,0.708961360498366,1.302866666682,0.96,0.71,1.3
"Age.cat51-60",0.708023102786184,0.525817840197984,0.954864887002545,0.71,0.53,0.95
"Age.cat61-65",0.503017558895126,0.344678086031859,0.731949050834672,0.5,0.34,0.73
"edu_cat.bSecondary",1.07554652888084,0.720936066361416,1.62295780576448,1.08,0.72,1.62
"edu_cat.bTertiary",1.29706536245555,0.86405368410609,1.96886890483864,1.3,0.86,1.97
"relevel(Contract.change, ref = ""No change"")Short-time reduced",0.675304470413063,0.513138575597481,0.887250126637182,0.68,0.51,0.89
"relevel(Contract.change, ref = ""No change"")Short-time 0",0.528373845235672,0.364259236574743,0.759940689006303,0.53,0.36,0.76
"relevel(Contract.change, ref = ""No change"")Job loss",0.386114926433742,0.154342655667186,0.878219966966128,0.39,0.15,0.88
"Liv.situationPartner/Family/Flatshare",1.09043223094315,0.902343140630097,1.31905803489268,1.09,0.9,1.32
"relevel(Ovrl_HO, ref = ""None"")Experienced",2.58041203467834,2.12907230973603,3.12968841672141,2.58,2.13,3.13
"relevel(Ovrl_HO, ref = ""None"")New",2.76177033401654,2.21260817787482,3.4484879853828,2.76,2.21,3.45
"relevel(Freetime, ref = ""Unchanged"")Decreased",0.958669788452044,0.753482398208558,1.21821234698798,0.96,0.75,1.22
"relevel(Freetime, ref = ""Unchanged"")Increased",1.92301850434835,1.54921017100585,2.38933081597465,1.92,1.55,2.39
"relevel(Work_time, ref = ""Unchanged"")Decreased",0.61405840757853,0.479195394625275,0.785555635507689,0.61,0.48,0.79
"relevel(Work_time, ref = ""Unchanged"")Increased",1.32555819508317,0.996453586561037,1.76107262346392,1.33,1,1.76
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.10522649103302,0.778193943929186,1.55956419774136,1.11,0.78,1.56
"relevel(Caring_duties, ref = ""Unchanged"")Increased",0.959104678513738,0.762900895516699,1.20414712372357,0.96,0.76,1.2
