"","OR","X2.5..","X97.5..","OR.1","X2.5...1","X97.5...1"
"GenderMale",0.912162611312944,0.780524535457967,1.06873780076417,0.91,0.78,1.07
"CountrySwitzerland",0.870504062607224,0.721858045795835,1.04916089315027,0.87,0.72,1.05
"Age.cat31-40",0.930575059192255,0.68996786575802,1.25579675837258,0.93,0.69,1.26
"Age.cat41-50",1.07596409488099,0.800807680451649,1.44668147787483,1.08,0.8,1.45
"Age.cat51-60",1.22983374396607,0.922002085189829,1.64190108124016,1.23,0.92,1.64
"Age.cat61-65",1.55526400907829,1.0948977760216,2.21061643019343,1.56,1.09,2.21
"edu_cat.bSecondary",1.09091856855413,0.740017971613479,1.61128799956493,1.09,0.74,1.61
"edu_cat.bTertiary",1.00983484398377,0.680766606400096,1.50040766866693,1.01,0.68,1.5
"relevel(Contract.change, ref = ""No change"")Short-time reduced",3.46412608571895,2.67523362269909,4.49197465751463,3.46,2.68,4.49
"relevel(Contract.change, ref = ""No change"")Short-time 0",9.76392765313931,6.87832741645426,13.9295405226573,9.76,6.88,13.93
"relevel(Contract.change, ref = ""No change"")Job loss",35.9233311755041,15.2507314091459,92.1985736009,35.92,15.25,92.2
"Liv.situationPartner/Family/Flatshare",0.888133131853756,0.741535858592176,1.06378007618883,0.89,0.74,1.06
"relevel(Ovrl_HO, ref = ""None"")Experienced",1.18055466649305,0.983664147578854,1.4170118272776,1.18,0.98,1.42
"relevel(Ovrl_HO, ref = ""None"")New",1.21141035063929,0.980763106246747,1.49617977127149,1.21,0.98,1.5
"relevel(Work_time, ref = ""Unchanged"")Decreased",2.94594616894471,2.32898970254123,3.73025407054451,2.95,2.33,3.73
"relevel(Work_time, ref = ""Unchanged"")Increased",2.05810305096967,1.55197964329453,2.73082840339358,2.06,1.55,2.73
"relevel(Freetime, ref = ""Unchanged"")Decreased",1.62315340746624,1.29356468331733,2.03733676858123,1.62,1.29,2.04
"relevel(Freetime, ref = ""Unchanged"")Increased",1.27021519664445,1.03578878784562,1.55732319291803,1.27,1.04,1.56
"relevel(Caring_duties, ref = ""Unchanged"")Decreased",1.1256347518496,0.804988582770024,1.57318020315678,1.13,0.8,1.57
"relevel(Caring_duties, ref = ""Unchanged"")Increased",1.58170158554511,1.27363983163033,1.96500155017883,1.58,1.27,1.97
